ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,COMPLEJIDA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_12A14,P_12A14_F,P_12A14_M,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M
11,Guanajuato,10,NO,Concentración Media,376454,194978,181476,16902,8380,8522,107972,17510,8608,8902,36248,17719,18529,18540,9150,9390,6291,3057,3234,1833,891,942,2061,990,1071,358,142,216
11,Guanajuato,11,NO,Concentrado 2,395212,199720,195492,19584,9595,9989,124839,21108,10519,10589,40632,19921,20711,21114,10468,10646,8475,4255,4220,1978,930,1048,2286,1003,1283,904,383,521
11,Guanajuato,12,NO,Concentrado 1,432575,222733,209842,17690,8598,9092,123575,22610,10969,11641,40692,19891,20801,20997,10365,10632,7142,3470,3672,1973,962,1011,1769,805,964,962,420,542
11,Guanajuato,13,NO,Disperso 1,410229,211573,198656,22075,10838,11237,132487,21571,10614,10957,44957,22236,22721,22007,10949,11058,8932,4324,4608,1973,945,1028,2985,1407,1578,368,161,207
11,Guanajuato,14,NO,Disperso 1,397931,206051,191880,19048,9423,9625,123625,21438,10732,10706,41955,20790,21165,20861,10275,10586,8102,3959,4143,1709,831,878,2256,1034,1222,570,253,317
11,Guanajuato,15,NO,Concentrado 1,374127,190548,183579,17959,8928,9031,112315,19824,9643,10181,37181,18438,18743,18452,9052,9400,7958,3846,4112,2086,1058,1028,1991,965,1026,486,201,285
11,Guanajuato,2,NO,Disperso 1,435292,226783,208509,24576,12038,12538,149553,25835,12834,13001,49481,24518,24963,24761,12215,12546,9989,4932,5057,2083,974,1109,2611,1133,1478,860,379,481
11,Guanajuato,3,NO,Concentrado 1,441301,225506,215795,20158,9945,10213,131225,22634,11238,11396,43841,21702,22139,21937,10863,11074,8471,4171,4300,2374,1125,1249,2512,1165,1347,691,329,362
11,Guanajuato,4,NO,Disperso 1,380060,195930,184130,21386,10578,10808,126618,21628,10641,10987,42200,20766,21434,20647,10252,10395,6703,3318,3385,1585,750,835,2101,949,1152,426,193,233
11,Guanajuato,5,NO,Altamente Concentrado 2,417616,212541,205075,21307,10368,10939,132797,22848,11296,11552,44499,21677,22822,22025,10903,11122,9786,4815,4971,2506,1148,1358,2996,1387,1609,1077,502,575
11,Guanajuato,6,NO,Concentrado 2,467310,236841,230469,24075,11880,12195,151140,26302,12808,13494,50500,24667,25833,25188,12462,12726,10445,5061,5384,2757,1298,1459,3187,1481,1706,908,401,507
11,Guanajuato,7,NO,Disperso 1,410974,211471,199503,22840,11226,11614,137727,23151,11409,11742,46842,23197,23645,22471,11107,11364,9967,4914,5053,1981,910,1071,4154,1898,2256,629,250,379
11,Guanajuato,8,NO,Concentración Media,422317,218518,203799,19972,9814,10158,128607,21761,10827,10934,43316,21515,21801,21758,10708,11050,7906,3900,4006,1937,961,976,2079,979,1100,485,217,268
11,Guanajuato,9,NO,Concentración Media,422626,215248,207378,23443,11719,11724,142711,25048,12349,12699,47637,23561,24076,23392,11549,11843,9844,4939,4905,2344,1134,1210,2504,1250,1254,503,217,286
12,Guerrero,1,NO,Muy Disperso 1,352902,180571,172331,21081,10438,10643,123220,22278,11003,11275,42165,20676,21489,19476,9686,9790,5736,2769,2967,2115,1016,1099,2634,1211,1423,2623,1283,1340
